,name,rating,date,heading,review,rating_num,date_dt,heading_len,review_len,heading_clean,review_clean
44,Justin M.,5.0 star rating,12/21/2021,"2 of us, never going","2 of us, never going back to a no ag1 life.",5,12/21/2021,5,11,"['2', 'u', 'never', 'going']","['2', 'u', 'never', 'going', 'back', 'ag1', 'life']"
45,Anthony B.,5.0 star rating,12/21/2021,happy with the results,i was taking a daily handful of vitamins. now just one scoop of ag1. i feel better and it is much easier.,5,12/21/2021,4,22,"['happy', 'result']","['taking', 'daily', 'handful', 'vitamin', 'one', 'scoop', 'ag1', 'feel', 'better', 'much', 'easier']"
46,Christine A.,5.0 star rating,12/21/2021,absolutely love,i’ve tasted so many comparable greens and this one by far tastes the best. i can see and feel a difference by using this one daily!,5,12/21/2021,2,26,"['absolutely', 'love']","['ive', 'tasted', 'many', 'comparable', 'one', 'far', 'taste', 'best', 'see', 'feel', 'difference', 'using', 'one', 'daily']"
47,KEVIN M.,4.0 star rating,12/21/2021,can’t get used to the,"can’t get used to the grainy sensation when drinking the product. also, shipping is a hassle to get my order.",4,12/21/2021,5,20,"['cant', 'get', 'used']","['cant', 'get', 'used', 'grainy', 'sensation', 'drinking', 'product', 'also', 'shipping', 'hassle', 'get', 'order']"
48,Millicent W.,5.0 star rating,12/21/2021,a necessity,love it,5,12/21/2021,2,2,['necessity'],['love']
49,Migdoel M.,5.0 star rating,12/20/2021,cool product,good flavor- cool product  wish the packet was bigger! :),5,12/20/2021,2,11,"['cool', 'product']","['good', 'flavor', 'cool', 'product', 'wish', 'packet', 'bigger']"
50,JANE W.,5.0 star rating,12/20/2021,a new lease on life,"i am in my early 60s, and since i started making athletic greens my go to breakfast of choice first thing every morning on an empty stomach, my digestion, sleep quality and energy levels have improved enormously. my goal is to stay physically fit and mentally intact for as long as possible, and athletic greens is proving to be instrumental in help...read moreread more about review stating a new lease on lifeing me to achieve that goal. thank you! read lessread less about review stating a new lease on life",5,12/20/2021,5,90,"['new', 'lease', 'life']","['early', '60', 'since', 'started', 'making', 'go', 'breakfast', 'choice', 'first', 'thing', 'every', 'morning', 'empty', 'stomach', 'digestion', 'sleep', 'quality', 'energy', 'level', 'improved', 'enormously', 'goal', 'stay', 'physically', 'fit', 'mentally', 'intact', 'long', 'possible', 'proving', 'instrumental', 'helpread', 'moreread', 'review', 'stating', 'new', 'lease', 'lifeing', 'achieve', 'goal', 'thank', 'read', 'lessread', 'le', 'review', 'stating', 'new', 'lease', 'life']"
51,Krista C.,5.0 star rating,12/20/2021,energy normal bowl movement,love it.,5,12/20/2021,4,2,"['energy', 'normal', 'bowl', 'movement']",['love']
52,Sean T.,5.0 star rating,12/20/2021,best stuff on the market,best stuff on the market,5,12/20/2021,5,5,"['best', 'stuff', 'market']","['best', 'stuff', 'market']"
53,Lauren C.,5.0 star rating,12/20/2021,awesome product,"my energy levels are consistent through the day, rarely is there a day that i have a need to take an afternoon nap 😴",5,12/20/2021,2,24,"['awesome', 'product']","['energy', 'level', 'consistent', 'day', 'rarely', 'day', 'need', 'take', 'afternoon', 'nap']"
54,Domingo S.,5.0 star rating,12/20/2021,excellent product. raises energy level,excellent product. raises energy level,5,12/20/2021,5,5,"['excellent', 'product', 'raise', 'energy', 'level']","['excellent', 'product', 'raise', 'energy', 'level']"
55,Jonathan P.,5.0 star rating,12/20/2021,its a hard yes,"with ag1 i need 50% or less of the coffee i was drinking before. i legit go days without drinking any coffee. my guts are happier than ever.  this is a great product. i can't even fully explain everything i love about it, it just makes me feel hella good.",5,12/20/2021,4,51,"['hard', 'yes']","['ag1', 'need', '50', 'le', 'coffee', 'drinking', 'legit', 'go', 'day', 'without', 'drinking', 'coffee', 'gut', 'happier', 'ever', 'great', 'product', 'cant', 'even', 'fully', 'explain', 'everything', 'love', 'make', 'feel', 'hella', 'good']"
56,justin L.,5.0 star rating,12/20/2021,athletic greens are my one stop shop!,i start everyday with my serving of athletic greens. ag fills the nutritional and supplemental gaps in my diet.,5,12/20/2021,7,19,"['one', 'stop', 'shop']","['start', 'everyday', 'serving', 'ag', 'fill', 'nutritional', 'supplemental', 'gap', 'diet']"
57,Kolette H.,5.0 star rating,12/20/2021,love this! makes healthy easy,actually has cut in half the supplements i have to talk.,5,12/20/2021,5,11,"['love', 'make', 'healthy', 'easy']","['actually', 'cut', 'half', 'supplement', 'talk']"
58,Justin W.,4.0 star rating,12/20/2021,bing bing,"it’s good. it’s more expensive than a lot of competitors. this is the first time i’ve used a green powder consistently for a month and i enjoyed it, but i’m also checking out the competition, so i’m not sold. i think the ingredient list could still be improved(ex. wheatgrass to seaweed), but it has been enjoyable, and has a nice taste",4,12/20/2021,2,61,"['bing', 'bing']","['good', 'expensive', 'lot', 'competitor', 'first', 'time', 'ive', 'used', 'powder', 'consistently', 'month', 'enjoyed', 'im', 'also', 'checking', 'competition', 'im', 'sold', 'think', 'ingredient', 'list', 'could', 'still', 'improvedex', 'wheatgrass', 'seaweed', 'enjoyable', 'nice', 'taste']"
59,john B.,5.0 star rating,12/20/2021,love the product and notice difference in my body feeling better,"once something becomes routine you can quickly forget how well it has worked. i feel better with athletic greens. it does not overcome poor eating, darn, but i feel better and start off everyday with the greens and water. i recommend anyone who is slightly eating heathy to add this to their diet and you will love the results.",5,12/20/2021,11,59,"['love', 'product', 'notice', 'difference', 'body', 'feeling', 'better']","['something', 'becomes', 'routine', 'quickly', 'forget', 'well', 'worked', 'feel', 'better', 'overcome', 'poor', 'eating', 'darn', 'feel', 'better', 'start', 'everyday', 'water', 'recommend', 'anyone', 'slightly', 'eating', 'heathy', 'add', 'diet', 'love', 'result']"
60,Rebecca W.,5.0 star rating,12/20/2021,awesome,the perfect start to my day. tastes great and brings a great element to my mourning routine that i didn’t know i needed.,5,12/20/2021,1,23,['awesome'],"['perfect', 'start', 'day', 'taste', 'great', 'brings', 'great', 'element', 'mourning', 'routine', 'know', 'needed']"
